,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Wifi & Connectivity,Recommended
853,None,Couple Leisure,Economy Class,Amman to London,2018-04-01 00:00:00,2.0,1.0,1.0,1.0,1.0,1,0.0,no
854,A320,Couple Leisure,Business Class,Paphos to Gatwick,2018-07-01 00:00:00,3.0,5.0,3.0,0.0,1.0,3,0.0,no
855,A320,Couple Leisure,Business Class,Gatwick to Paphos,2018-07-01 00:00:00,3.0,5.0,4.0,0.0,4.0,4,0.0,yes
856,Boeing 747-400,Family Leisure,Business Class,New York to Nairobi via London,2018-07-01 00:00:00,2.0,5.0,2.0,2.0,2.0,2,0.0,no
857,None,Business,Economy Class,Istanbul to London Heathrow,2018-07-01 00:00:00,1.0,1.0,0.0,1.0,1.0,1,0.0,no
858,None,Family Leisure,Economy Class,Heathrow to Milan,2018-07-01 00:00:00,3.0,2.0,0.0,0.0,1.0,1,0.0,no
859,Boeing 787-9,Business,Premium Economy,London to Santiago de Chile,2018-07-01 00:00:00,4.0,5.0,4.0,4.0,4.0,5,0.0,yes
860,Boeing 777,Couple Leisure,Business Class,London Heathrow to Seattle Tacoma,2018-07-01 00:00:00,4.0,4.0,4.0,2.0,4.0,4,0.0,no
861,A320-200,Family Leisure,Economy Class,London Gatwick to Tirana Rinas,2018-07-01 00:00:00,4.0,4.0,3.0,0.0,5.0,3,0.0,yes
862,A320,Couple Leisure,Economy Class,London to Murcia ,2018-07-01 00:00:00,5.0,5.0,5.0,0.0,3.0,5,0.0,yes
863,A321,Solo Leisure,Business Class,London to Amsterdam,2018-07-01 00:00:00,3.0,4.0,3.0,0.0,1.0,1,0.0,no
864,Boeing 777,Family Leisure,Economy Class,Aberdeen to Abu Dhabi via London,2018-07-01 00:00:00,3.0,1.0,1.0,4.0,1.0,3,0.0,no
865,A320 / Boeing 747-400,Solo Leisure,Economy Class,Prague to Denver via London,2018-06-01 00:00:00,3.0,5.0,5.0,3.0,1.0,2,0.0,no
866,A319,Couple Leisure,Economy Class,Seville to Gatwick,2018-07-01 00:00:00,2.0,1.0,1.0,0.0,1.0,3,0.0,no
867,None,Solo Leisure,Economy Class,London to Amsterdam,2018-07-01 00:00:00,1.0,1.0,0.0,0.0,1.0,1,0.0,no
868,None,Couple Leisure,Business Class,Gatwick to Barcelona ,2018-07-01 00:00:00,1.0,3.0,1.0,0.0,4.0,1,0.0,no
869,Boeing 777 / A380,Business,Premium Economy,HKG to LHR,2018-06-01 00:00:00,4.0,5.0,4.0,5.0,5.0,4,3.0,yes
870,A320,Solo Leisure,Business Class,Faro to Gatwick,2018-07-01 00:00:00,3.0,2.0,4.0,0.0,3.0,4,0.0,yes
871,A320,Solo Leisure,Business Class,Gatwick to Faro,2018-07-01 00:00:00,3.0,4.0,3.0,0.0,5.0,4,0.0,yes
872,Boeing 787-9 / A380-800,Solo Leisure,First Class,Jeddah to Chicago via London,2018-05-01 00:00:00,4.0,5.0,4.0,5.0,1.0,5,4.0,no
873,None,Business,Business Class,London to Frankfurt,2018-07-01 00:00:00,1.0,1.0,1.0,0.0,1.0,1,0.0,no
874,A321,Solo Leisure,Business Class,Gatwick to Malaga,2018-07-01 00:00:00,4.0,5.0,5.0,0.0,3.0,5,0.0,yes
875,Boeing 777-200,Couple Leisure,Business Class,Bermuda to Gatwick,2018-05-01 00:00:00,4.0,3.0,1.0,4.0,4.0,2,0.0,yes
876,None,Business,Economy Class,Aberdeen to Boston via London,2018-07-01 00:00:00,2.0,4.0,4.0,5.0,4.0,3,4.0,yes
877,A319,Solo Leisure,Economy Class,London to Hamburg,2018-06-01 00:00:00,4.0,3.0,0.0,0.0,5.0,3,0.0,yes
878,None,Family Leisure,Premium Economy,London Heathrow to Hong Kong,2018-07-01 00:00:00,3.0,3.0,2.0,3.0,1.0,2,2.0,no
879,None,Couple Leisure,Economy Class,London to Istanbul,2018-06-01 00:00:00,3.0,3.0,1.0,1.0,1.0,2,0.0,no
880,A320,Solo Leisure,Economy Class,Munich to London Heathrow,2018-07-01 00:00:00,4.0,4.0,2.0,0.0,5.0,3,0.0,yes
881,None,Couple Leisure,Business Class,Edinburgh-Florence ,2018-07-01 00:00:00,4.0,5.0,5.0,0.0,5.0,5,0.0,yes
882,None,Solo Leisure,Economy Class,London Heathrow to Manchester,2018-07-01 00:00:00,1.0,1.0,1.0,1.0,1.0,1,1.0,no
883,None,Couple Leisure,Economy Class,London to Madrid,2018-07-01 00:00:00,1.0,0.0,0.0,0.0,1.0,1,0.0,no
884,Boeing 777,Business,Business Class,London to Shanghai,2018-06-01 00:00:00,1.0,5.0,4.0,2.0,2.0,3,0.0,no
885,Boeing 777,Family Leisure,Economy Class,London to Tehran,2017-08-01 00:00:00,1.0,1.0,1.0,0.0,4.0,1,0.0,no
886,A321,Couple Leisure,Economy Class,Pisa to London Heathrow,2018-07-01 00:00:00,1.0,3.0,0.0,0.0,3.0,2,0.0,no
887,Boeing 747,Business,First Class,London Heathrow to Las Vegas,2018-06-01 00:00:00,3.0,2.0,2.0,2.0,3.0,1,2.0,no
888,Boeing 747,Couple Leisure,Economy Class,Dublin to Miami via London,2018-06-01 00:00:00,1.0,1.0,1.0,0.0,1.0,1,0.0,no
889,None,Family Leisure,Economy Class,Johannesburg to Heathrow,2018-06-01 00:00:00,1.0,4.0,1.0,4.0,1.0,1,0.0,no
890,None,Couple Leisure,Economy Class,Toronto to London,2018-07-01 00:00:00,1.0,1.0,1.0,3.0,1.0,1,0.0,no
891,None,Couple Leisure,Business Class,Rome to Gatwick,2017-08-01 00:00:00,1.0,1.0,1.0,0.0,1.0,1,0.0,no
892,None,Solo Leisure,Premium Economy,Mumbai to Edinburgh via London,2018-06-01 00:00:00,5.0,5.0,3.0,4.0,5.0,5,0.0,yes
893,None,Solo Leisure,Business Class,Mumbai to London Heathrow,2018-06-01 00:00:00,2.0,3.0,3.0,4.0,3.0,1,0.0,no
894,Boeing 747 / 777,Solo Leisure,Premium Economy,Delhi to London,2018-06-01 00:00:00,4.0,4.0,4.0,4.0,4.0,4,0.0,yes
895,Boeing 787(9),Couple Leisure,Business Class,Seychelles to London,2018-06-01 00:00:00,2.0,3.0,3.0,3.0,1.0,1,0.0,no
896,A320,Couple Leisure,Business Class,Gatwick to Gibraltar,2018-06-01 00:00:00,5.0,5.0,5.0,0.0,4.0,4,0.0,yes
897,A380,Business,First Class,London to Vancouver,2018-06-01 00:00:00,2.0,4.0,2.0,2.0,2.0,4,0.0,no
898,None,Business,Economy Class,Milan to London,2018-06-01 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0.0,no
899,Boeing 747,Family Leisure,Economy Class,New York JFK to Rome via London Heathrow,2018-06-01 00:00:00,3.0,5.0,5.0,5.0,1.0,1,5.0,no
900,Boeing 777,Business,Business Class,Newark to London Heathrow,2018-06-01 00:00:00,3.0,1.0,1.0,3.0,4.0,2,3.0,no
901,Boeing 747 and Boeing 777,Couple Leisure,Business Class,London Heathrow to Seattle,2018-06-01 00:00:00,4.0,5.0,5.0,4.0,5.0,3,0.0,yes
902,Boeing 747,Solo Leisure,Economy Class,London to Johannesburg,2018-04-01 00:00:00,1.0,1.0,1.0,1.0,4.0,2,1.0,no
